count,org__orgName__departmentName,org__orgName__departmentType
2537,Redding,M
15636,State Police - Other,T
2330,Cromwell,M
1555,East Haven,M
27826,State Police - Troop C,T
8041,Greenwich,M
3710,Seymour,M
3281,Simsbury,M
173,ECSU,S
618,Shelton,M
4319,Monroe,M
13670,State Police - Troop I,T
3207,Meriden,M
8254,Hartford,M
3289,Waterford,M
27507,State Police - Troop G,T
797,Wolcott,M
7366,Ridgefield,M
760,Stamford,M
6891,Branford,M
1745,UCONN,S
13790,State Police - Troop L,T
2956,Stratford,M
4883,Ansonia,M
9402,Newtown,M
3893,Wilton,M
2782,Old Saybrook,M
4749,Cheshire,M
8221,West Hartford,M
18790,State Police - Troop H,T
105,Groton Long Point,M
5395,Southington,M
25618,State Police - Troop F,T
410,Weston,M
917,SCSU,S
2614,Plymouth,M
3942,Willimantic,M
5902,Glastonbury,M
5547,Wethersfield,M
2308,Putnam,M
275,CAPITOL POLICE,S
10,Ledyard,M
5907,Naugatuck,M
725,East Hampton,M
2317,DMV,S
2974,Trumbull,M
1894,Stonington,M
2615,South Windsor,M
4525,Farmington,M
6410,Newington,M
2331,Clinton,M
1,MTA Stamford,S
7193,Westport,M
3700,Middletown,M
7900,Norwalk,M
7126,Enfield,M
6252,Groton Town,M
21494,State Police - Troop E,T
2795,North Haven,M
6159,State Police - Troop B,T
5442,Hamden,M
942,Thomaston,M
6644,Berlin,M
1340,North Branford,M
9177,Wallingford,M
6919,Norwich,M
5515,Bloomfield,M
23667,State Police - Troop A,T
3725,Derby,M
427,Easton,M
1751,Canton,M
1035,East Windsor,M
3867,West Haven,M
2869,Windsor Locks,M
1524,New London,M
4999,Plainville,M
1240,Plainfield,M
1234,Granby,M
4358,Milford,M
3681,Darien,M
717,Winsted,M
1343,Coventry,M
7542,East Hartford,M
3405,Manchester,M
8657,Torrington,M
160,Portland,M
3129,Orange,M
2733,Madison,M
266,Middlebury,M
556,Suffield,M
1050,Yale,S
1791,CCSU,S
3697,Rocky Hill,M
38,WCSU,S
667,Avon,M
11159,New Haven,M
3223,Brookfield,M
3712,Bethel,M
4653,Bristol,M
1742,Waterbury,M
4480,Fairfield,M
2465,Woodbridge,M
6182,Danbury,M
5533,New Britain,M
9,MET DIST WATER AUTHORITY,S
4717,Bridgeport,M
4049,New Milford,M
3762,Vernon,M
2710,Guilford,M
1784,Watertown,M
21787,State Police - Troop K,T
2805,Groton City,M
4229,New Canaan,M
5563,Windsor,M
16662,State Police - Troop D,T
