"Town","FIPS","count"
"Ansonia","0900901220",4883
"Avon","0900302060",667
"Berlin","0900304300",6644
"Bethel","0900104720",3712
"Bloomfield","0900305910",5515
"Branford","0900907310",6891
"Bridgeport","0900108070",4717
"Bristol","0900308490",4653
"Brookfield","0900108980",3223
"Canton","0900312270",1751
"Cheshire","0900914160",4749
"Clinton","0900715350",2331
"Coventry","0901317800",1343
"Cromwell","0900718080",2330
"Danbury","0900118500",6182
"Darien","0900118850",3681
"Derby","0900919550",3725
"East Hampton","0900722490",725
"East Hartford","0900322630",7542
"East Haven","0900922910",1555
"East Windsor","0900324800",1035
"Easton","0900123890",427
"Enfield","0900325990",7126
"Fairfield","0900126620",4480
"Farmington","0900327600",4525
"Glastonbury","0900331240",5902
"Granby","0900332640",1234
"Greenwich","0900133620",8041
"Guilford","0900934950",2710
"Hamden","0900935650",5442
"Hartford","0900337070",8254
"Ledyard","0901142600",10
"Madison","0900944560",2733
"Manchester","0900344700",3405
"Meriden","0900946520",3207
"Middlebury","0900946940",266
"Middletown","0900747360",3700
"Milford","0900947535",4358
"Monroe","0900148620",4319
"Naugatuck","0900949950",5907
"New Britain","0900350440",5533
"New Canaan","0900150580",4229
"New Haven","0900952070",11159
"New London","0901152350",1524
"New Milford","0900552630",4049
"Newington","0900352140",6410
"Newtown","0900152980",9402
"North Branford","0900953890",1340
"North Haven","0900954870",2795
"Norwalk","0900156060",7900
"Norwich","0901156270",6919
"Old Saybrook","0900757320",2782
"Orange","0900957600",3129
"Plainfield","0901559980",1240
"Plainville","0900360120",4999
"Plymouth","0900560750",2614
"Portland","0900761800",160
"Putnam","0901562710",2308
"Redding","0900163480",2537
"Ridgefield","0900163970",7366
"Rocky Hill","0900365370",3697
"Seymour","0900967610",3710
"Shelton","0900168170",618
"Simsbury","0900368940",3281
"South Windsor","0900371390",2615
"Southington","0900370550",5395
"Stamford","0900173070",760
"Stonington","0901173770",1894
"Stratford","0900174190",2956
"Suffield","0900374540",556
"Thomaston","0900575730",942
"Torrington","0900576570",8657
"Trumbull","0900177200",2974
"Vernon","0901378250",3762
"Wallingford","0900978740",9177
"Waterbury","0900980070",1742
"Waterford","0901180280",3289
"Watertown","0900580490",1784
"West Hartford","0900382590",8221
"West Haven","0900982870",3867
"Weston","0900183430",410
"Westport","0900183500",7193
"Wethersfield","0900384900",5547
"Wilton","0900186370",3893
"Windsor","0900387000",5563
"Windsor Locks","0900387070",2869
"Wolcott","0900987560",797
"Woodbridge","0900987700",2465
